Date;Hour;Location;Time full;Time;Distance_km;Distance;Pace
03/03/2019;9:00:00;Unirun 2019;0:33:55;2035;6,8;6800;0:04:59
02/05/2020;20:24:00;Guinardó;0:32:28;1948;4,56;4560;0:07:07
03/05/2020;20:23:00;Guinardó;0:30:57;1857;4,59;4590;0:06:45
04/05/2020;19:58:00;Guinardó;0:35:45;2145;5,26;5260;0:06:48
05/05/2020;20:21:00;Guinardó;0:25:26;1526;4,25;4250;0:05:59
06/05/2020;20:10:00;Guinardó;0:43:31;2611;6,68;6680;0:06:31
11/05/2020;20:01:00;Vall d'Hebron;0:49:34;2974;7,01;7010;0:07:04
05/06/2020;20:13:00;Guinardó;0:41:19;2479;5,45;5450;0:07:35
06/06/2020;20:08:00;Guinardó;0:42:48;2568;6,72;6720;0:06:22
20/06/2020;20:54:00;Can Dragó;0:24:11;1451;3,44;3440;0:07:02
04/02/2021;17:48:00;Diagonal + Forum;0:51:02;3062;7,37;7370;0:06:55
05/02/2021;18:12:00;Can Dragó;0:43:22;2602;7,37;7370;0:05:53
22/02/2021;18:52:00;Passeig marítim;1:17:23;4643;11,15;11150;0:06:56
26/02/2021;19:34:00;Passeig marítim;0:51:47;3107;8,55;8550;0:06:03
01/03/2021;19:23:00;Can Dragó;0:24:59;1499;4,75;4750;0:05:16
04/03/2021;19:36:00;Vall d'Hebron;0:33:00;1980;5,05;5050;0:06:32
08/03/2021;19:20:00;Vall d'Hebron;0:34:36;2076;5,51;5510;0:06:17
10/03/2021;18:17:00;Can Dragó;0:25:00;1500;4,83;4830;0:05:11
15/03/2021;19:31:00;Can Dragó;0:38:36;2316;7,25;7250;0:05:19
16/03/2021;19:28:00;Forum;0:37:19;2239;6,6;6600;0:05:39
21/03/2021;19:01:00;Passeig marítim;0:49:09;2949;8,79;8790;0:05:35
26/03/2021;18:23:00;Passeig marítim;0:30:16;1816;6,38;6380;0:04:45
31/05/2021;19:06:00;Forum;0:32:25;1945;6,13;6130;0:05:17
02/06/2021;19:00:00;Passeig marítim;0:31:47;1907;6,19;6190;0:05:08
10/06/2021;18:28:00;Forum;0:34:47;2087;6,51;6510;0:05:21
13/06/2021;18:25:00;Forum;0:43:47;2627;8,34;8340;0:05:15
13/09/2021;18:36:00;Diagonal;0:30:21;1821;6,07;6070;0:05:00
18/09/2021;17:22:00;Can Dragó;0:32:10;1930;5,99;5990;0:05:22
29/09/2021;17:35:00;Can Dragó;0:26:53;1613;5,43;5430;0:04:57
12/10/2021;17:55:00;Can Dragó;0:19:46;1186;3,86;3860;0:05:07
16/11/2021;19:31:00;Can Dragó;0:22:31;1351;4,33;4330;0:05:12
17/11/2021;17:59:00;Can Dragó;0:28:13;1693;5,62;5620;0:05:01
22/11/2021;18:46:00;Can Dragó;0:28:07;1687;5,72;5720;0:04:55
24/11/2021;18:48:00;Can Dragó;0:20:49;1249;3,84;3840;0:05:25
29/11/2021;20:21:00;Can Dragó;0:17:49;1069;3,59;3590;0:04:58
07/12/2021;17:55:00;Diagonal;0:26:13;1573;5,42;5420;0:04:50
09/12/2021;18:59:00;Forum;0:26:24;1584;5,6;5600;0:04:43
14/12/2021;19:02:00;Diagonal;0:21:31;1291;4,69;4690;0:04:35
25/12/2021;18:55:00;Diagonal;0:20:37;1237;4,4;4400;0:04:41
29/12/2021;18:08:00;Forum;0:26:57;1617;5,73;5730;0:04:42
02/01/2022;16:09:00;Can Dragó;0:24:19;1459;5,29;5290;0:04:36
04/01/2022;16:44:00;Can Dragó;0:23:30;1410;5,23;5230;0:04:30
09/01/2022;12:24:00;Forum;0:22:43;1363;4,99;4990;0:04:33
16/01/2022;11:00:00;Forum;0:23:14;1394;5,1;5100;0:04:33
19/01/2022;18:04:00;Can Dragó;0:22:35;1355;5,13;5130;0:04:24
23/01/2022;16:38:00;Forum;0:23:34;1414;5,11;5110;0:04:37
28/01/2022;18:41:00;Forum;0:22:30;1350;5,14;5140;0:04:23
06/02/2022;10:33:00;Forum;0:22:16;1336;5,06;5060;0:04:24
09/02/2022;19:02:00;Forum;0:22:02;1322;5,13;5130;0:04:18
15/02/2022;18:36:00;Forum;0:22:00;1320;5,13;5130;0:04:17
16/02/2022;19:24:00;Diagonal;0:18:47;1127;4,42;4420;0:04:15
