album;title;year;duration;spotify;youtube;grade
Taylor Swift;Tim McGraw;2006;3:52;102;50;7,9
Taylor Swift;Picture To Burn;2008;2:53;143;118;8,85
Taylor Swift;Teardrops On My Guitar;2007;3:23;177;166;8,7
Taylor Swift;A Place in This World;2006;3:19;30;0,7;9,25
Taylor Swift;Cold As You;2006;3:59;31;0,75;7,85
Taylor Swift;The Outside;2006;3:27;21;0,5;7,55
Taylor Swift;Tied Together with a Smile;2006;4:08;24;0,5;7,35
Taylor Swift;Stay Beautiful;2006;3:56;26;0,5;6,5
Taylor Swift;Should've Said No;2008;4:02;92;2;8,35
Taylor Swift;Mary's Song (Oh My My My);2006;3:33;33;0,6;7,4
Taylor Swift;Our Song;2007;3:21;243;207;8,65
Taylor Swift;I'm Only Me When I'm With You;2006;3:33;38;53;8,6
Taylor Swift;Invisible;2006;3:23;26;0,5;8
Taylor Swift;A Perfectly Good Heart;2007;3:40;18;0,4;6,8
Fearless;Fearless;2008;4:01;167;61;9,725
Fearless;Fifteen;2008;4:54;106;166;7,6
Fearless;Love Story;2008;3:55;766;696;9,45
Fearless;Hey Stephen;2008;4:14;68;7,5;7,95
Fearless;White Horse;2008;3:54;104;158;8,2
Fearless;You Belong With Me;2008;3:51;554;1492;9,74
Fearless;Breathe;2008;4:23;64;8,4;7,6
Fearless;Tell Me Why;2008;3:20;43;3,5;7,6
Fearless;You're Not Sorry;2008;4:21;54;8;7,2
Fearless;The Way I Loved You;2008;4:03;309;67;9,65
Fearless;Forever & Always;2008;3:45;82;5,5;9
Fearless;The Best Day;2008;4:05;39;25;6,9
Fearless;Change;2008;4:39;34;50;7,65
Fearless;Jump Then Fall;2008;3:57;41;4,1;8,6
Fearless;Untouchable;2008;5:12;41;5,3;7,3
Fearless;Come In With The Rain;2008;3:57;31;2;7,35
Fearless;Superstar;2008;4:23;28;2;7,45
Fearless;The Other Side Of The Door;2008;3:58;54;3,3;8,65
Fearless;Today Was A Fairytale;2008;4:01;40;3,2;8,45
Fearless;You All Over Me;2021;3:40;93;9,1;7,2
Fearless;Mr. Perfectly Fine;2021;4:37;284;40;9,2
Fearless;We Were Happy;2021;4:04;46;2,5;7,65
Fearless;That's When;2021;3:09;61;4,2;8,35
Fearless;Don't You;2021;3:28;53;2,8;7,35
Fearless;Bye Bye Baby;2021;4:02;42;3,2;7,4
Fearless;If This Was A Movie;2010;3:57;38;3;8,75
Speak Now;Mine;2010;3:51;107;317;9,2
Speak Now;Sparks Fly;2010;4:21;164;94;9,775
Speak Now;Back To December;2010;4:54;336;314;8,85
