duration,grade,prediction
232,7.9,4
173,8.85,0
203,8.7,0
242,8.35,4
201,8.65,0
213,8.6,0
241,9.725,4
294,7.6,3
235,9.45,4
234,8.2,4
231,9.74,4
261,7.2,3
243,9.65,4
245,6.9,4
279,7.65,3
237,7.35,4
263,7.45,3
277,9.2,3
237,8.75,4
231,9.2,4
261,9.775,3
294,8.85,3
242,9.0,4
405,9.05,2
238,8.7,4
267,8.55,3
292,7.3,3
353,9.7,2
369,8.35,2
235,8.1,4
266,8.75,3
273,9.4,3
306,8.15,3
223,9.5,4
242,7.4,4
219,9.375,4
329,9.0,2
230,9.5,4
193,9.5,0
205,8.8,0
299,7.85,3
284,7.35,3
245,8.1,4
238,7.85,4
223,7.4,4
220,8.55,4
297,7.8,3
224,8.1,4
225,9.0,4
285,9.275,3
264,7.55,3
240,7.425,4
613,9.895,1
243,7.425,4
239,7.1,4
212,9.35,0
231,9.65,4
231,9.24,4
235,9.5,4
193,9.285,0
219,9.675,4
207,9.17,0
211,9.625,0
220,9.275,4
250,9.4,4
195,8.85,0
271,8.7,3
230,9.65,4
180,8.3,0
146,9.1,0
171,8.25,0
229,9.685,4
208,9.65,0
245,8.95,4
238,9.3,4
236,9.45,4
232,9.725,4
212,9.85,0
228,8.65,4
210,8.9,0
234,9.7,4
214,9.675,4
212,9.0,0
230,8.525,4
207,9.05,0
204,8.95,0
235,8.4,4
171,8.0,0
178,9.875,0
221,9.725,4
190,9.625,0
211,8.7,0
173,8.6,0
234,9.69,4
222,9.6,4
287,9.59,3
199,9.475,0
190,9.1,0
200,7.95,0
171,8.55,0
223,8.7,4
193,9.225,0
293,9.895,3
221,9.49,4
210,9.3,0
240,9.575,4
231,8.2,4
286,9.2,3
256,9.585,4
209,8.7,0
209,9.1,0
262,9.69,3
195,9.15,0
191,9.65,0
253,9.425,4
237,7.5,4
290,7.85,3
295,9.25,3
234,7.55,4
220,6.9,4
212,8.9,0
215,9.5,4
244,9.425,4
185,8.5,0
230,9.425,4
245,8.325,4
215,9.275,4
226,8.05,4
275,7.6,3
260,8.575,3
275,8.3,3
216,8.575,4
258,7.925,3
181,8.5,0
304,7.5,3
245,8.775,4
255,8.2,4
202,9.375,0
218,9.5,4
201,9.69,0
256,9.15,4
194,9.6,0
175,8.6,0
211,7.85,0
165,9.075,0
194,9.425,0
248,9.29,4
205,9.64,0
188,8.75,0
191,9.0,0
240,9.475,4
149,7.9,0
260,9.63,3
234,9.55,4
247,9.05,4
216,7.85,4
193,6.8,0
279,6.6,3
237,8.65,4
261,7.1,3
191,7.845,0
254,7.45,4
330,5.25,2
185,8.195,0
264,7.0,3
311,6.8,3
224,9.15,4
